SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBE§,MMR1 
6002711,ALAMEDA,PUBLIC,SUNOL GLEN UNIFIED,SUNOL,SUNOL GLEN,36,0,6,30
107839,ALAMEDA,PUBLIC,SBE - LIVERMORE VALLEY CHARTER,LIVERMORE,LIVERMORE VALLEY CHARTER,120,0,5,115
6002547,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LEANDRO,DAYTON ELEM.,82,0,0,78
6002505,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,BAY ELEM.,86,1,0,83
6002521,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,COLONIAL ACRES ELEM.,111,0,0,111
6002539,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,CORVALLIS ELEM.,112,0,0,104
6002554,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,DEL REY ELEM.,86,0,0,80
6002604,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,GRANT ELEM.,84,0,3,74
6002612,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,HESPERIAN ELEM.,118,0,0,117
6002620,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,HILLSIDE ELEM.,84,0,0,84
6002653,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,LORENZO MANOR ELEM.,139,0,1,137
6002372,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,GARFIELD ELEM.,86,0,3,82
6002398,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,JEFFERSON ELEM.,113,0,1,112
6002414,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MADISON ELEM.,70,0,1,69
6002422,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MC KINLEY ELEM.,75,0,0,74
6002430,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MONROE ELEM.,54,0,0,54
6002448,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,ROOSEVELT ELEM.,84,0,6,78
6002455,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WASHINGTON ELEM.,78,0,1,75
6002463,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WILSON ELEM.,137,0,0,137
6002315,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,ALISAL ELEM., , , , 
6001366,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,DONLON ELEM., , , , 
6002323,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,FAIRLANDS ELEM., , , , 
6114318,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,HENRY P. MOHR ELEM.,96,0,0,94
6001416,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,LYDIKSEN ELEM., , , , 
6117600,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,PHOEBE APPERSON HEARST ELEM, , , , 
130310,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,PLEASANTON HOMESCH. PGM., , , , 
6002349,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VALLEY VIEW ELEM., , , , 
6089361,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VINTAGE HILLS ELEM., , , , 
6002356,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,WALNUT GROVE ELEM., , , , 
6002281,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,BEACH (E.W.) ELEM.,57,0,3,45
6002299,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,HAVENS (F.C.) ELEM.,86,0,5,77
6002307,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,WILDWOOD AVE. ELEM.,43,0,0,40
125856,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,100 BLACK MEN OF THE BAY AREA COMMUNITY,17,0,1,15
6001630,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ALLENDALE ELEM.,89,0,0,82
6118608,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASCEND,47,0,0,47
120188,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE ERES ACADEMY,22,0,0,22
6001655,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BELLA VISTA ELEM.,86,0,0,81
109819,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BERKLEY MAYNARD ACADEMY,64,0,0,64
6002075,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BRIDGES ACADEMY @ MELROSE ELEM.,61,0,0,53
6001663,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BROOKFIELD VILLAGE ELEM.,57,0,0,56
6001689,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BURCKHALTER ELEM.,52,0,1,43
6001648,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CHABOT ELEM.,97,1,7,83
130518,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CIVICORPS ELEMENTARY, , , , 
6001739,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CLEVELAND ELEM.,68,0,2,66
115204,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COMMUNITY UNITED ELEMENTARY,95,0,0,88
114454,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS,21,0,1,16
6001788,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COX ACADEMY,92,0,0,89
6001754,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CROCKER HIGHLANDS ELEM.,86,0,3,75
100123,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND LEADERSHIP ACADEMY,15,0,0,15
115600,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND PRIDE ELEMENTARY,76,0,0,76
6001812,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EMERSON ELEM.,70,0,0,60
102988,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ENCOMPASS ACADEMY,52,0,0,50
6002190,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ESPERANZA @ STONEHURST ELEM.,59,0,0,56
6001820,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRANKLIN ELEM.,140,0,0,27
112813,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRED T. KOREMATSU DISCOVER ACADEMY,76,0,0,75
6001838,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRUITVALE ELEM.,64,0,0,58
115576,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FUTURES ELEMENTARY,54,0,0,51
6001846,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GARFIELD ELEM.,142,2,0,129
6001853,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLENVIEW ELEM.,75,0,5,70
115584,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLOBAL FAMILY,99,0,0,96
6001879,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GRASS VALLEY ELEM.,25,0,0,23
115618,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GREENLEAF ELEMENTARY,92,0,0,84
6001911,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HILLCREST ELEM.,49,1,1,46
6057046,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOOVER ELEM.,58,0,0,54
6001713,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOWARD (CHARLES P.) ELEM.,33,0,0,30
6118616,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,INTERNATIONAL COMMUNITY,77,0,0,74
6001895,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"KAISER (HENRY J., JR.) ELEM.",44,0,0,40
6072235,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"KING (MARTIN LUTHER, JR.) ELEM.",70,0,0,60
6096523,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LA ESCUELITA ELEM.,56,0,0,51
6001978,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAFAYETTE ELEM.,51,0,0,37
6001994,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAUREL ELEM.,84,0,0,78
6002000,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAZEAR ELEM.,32,0,0,24
115592,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LEARNING WITHOUT LIMITS,64,0,0,56
130633,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIGHTHOUSE COMMUNITY CHARTER, , , , 
6002018,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LINCOLN ELEM.,121,0,1,115
6001929,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANN (HORACE) ELEM.,51,0,0,49
6002042,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA COMMUNITY ELEM.,56,0,0,51
110247,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA SEED ELEMENTARY,99,0,1,92
6002059,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MARKHAM ELEM.,78,0,0,73
6118640,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MELROSE LEADERSHIP ACADEMY,42,0,0,37
6001945,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MILLER (JOAQUIN) ELEM.,73,0,0,70
108803,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MILLSMONT ACADEMY,45,0,0,43
6117568,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONARCH ACADEMY,66,0,0,66
6002083,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONTCLAIR ELEM.,97,0,0,66
6001697,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MUNCK (CARL B.) ELEM.,49,0,0,47
6001903,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NEW HIGHLAND ELEM.,60,0,0,60
6117972,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NORTH OAKLAND COMM. CHARTER SCHO,22,0,5,14
6002091,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PARKER ELEM.,39,0,1,33
6002109,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PERALTA YEAR AROUND,53,0,2,43
6002117,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PIEDMONT AVE. ELEM.,76,0,0,67
6002125,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PRESCOTT ELEM.,48,0,1,38
110239,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REACH ACADEMY,61,0,0,61
6002141,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REDWOOD HEIGHTS ELEM.,54,0,3,46
6117394,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REEMS (ERNESTINE C.) ACADEMY OF,40,0,0,40
110262,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,RISE COMMUNITY,53,0,0,49
110254,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SANKOFA ACADEMY,57,0,1,45
6002174,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SEQUOIA ELEM.,78,0,0,77
6002182,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SOBRANTE PARK ELEM.,27,0,0,27
100792,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THINK COLLEGE NOW,44,0,0,43
6002216,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THORNHILL ELEM.,73,0,0,5
123711,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,VINCENT ACADEMY,39,0,0,38
6002273,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WOODLAND ELEM. (ACORN WOODLAND),45,0,0,41
109983,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WORLD ACADEMY,112,0,0,100
6001499,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,BUNKER (JAMES L.) ELEM.,81,0,0,80
6001481,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,GRAHAM (JAMES A.) ELEM.,54,0,0,54
6001507,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,KENNEDY (JOHN F.) ELEM.,54,0,0,54
6001523,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LINCOLN ELEM.,54,1,1,51
6001531,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,MILANI (LOUIS) ELEM.,53,0,0,52
6001457,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,MUSICK (E. L.) ELEM.,60,1,0,59
6001440,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,SCHILLING (AUGUST) ELEM.,78,0,1,74
6001473,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,SNOW (H. A.) ELEM.,55,0,0,53
6001606,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,HAYWARD,HILLVIEW CREST ELEM.,122,0,0,115
6001572,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,ALVARADO ELEM.,128,0,0,121
6089346,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,CABELLO STUDENT SUPPORT CENTER, , , , 
126763,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DECOTO SCHOOL FOR INDEPENDENT STUDY, , , , 
6118525,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DELAINE EASTIN ELEMENTARY,120,0,0,110
6115554,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,EMANUELE (GUY JR.) ELEMENTARY,102,0,0,97
6115505,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,KITAYAMA (TOM) ELEMENTARY,121,0,0,116
6101604,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,PIONEER ELEM.,205,0,0,188
6001622,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,SEARLES ELEM.,137,0,0,131
6117543,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ALTAMONT CREEK ELEM.,103,0,2,101
6071906,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ARROYO SECO ELEM.,103,0,2,100
6110332,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,CROCE (LEO) ELEM.,103,0,2,99
6001283,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JACKSON AVE. ELEM.,109,0,4,104
6001234,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JUNCTION K-8,72,0,3,69
6001317,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MARYLIN AVE. ELEM.,97,0,2,95
6001291,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MITCHELL (JOE) ELEM.,77,1,5,71
6089338,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,RANCHO LAS POSITAS ELEM.,90,0,3,86
6001259,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SMITH (EMMA C.) ELEM.,117,0,4,113
6097661,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SUNSET ELEM.,125,0,2,115
119842,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,SPECIAL EDUCATION-PRESCHOOL-LAUREL, , , , 
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEM.,64,0,0,57
6000905,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BURBANK ELEM.,118,0,0,118
6000913,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,CHERRYLAND ELEM.,111,0,0,106
6000921,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EAST AVE. ELEM.,85,0,0,73
6001051,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN (LORIN A.) ELEM.,65,0,0,65
6090583,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN GARDENS ELEM.,96,0,0,88
6000947,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,ELDRIDGE ELEM.,60,0,0,56
6000962,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAIRVIEW ELEM,79,0,0,72
6113815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAITH RINGGOLD ELEM.,20,0,0,17
6000988,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,GLASSBROOK ELEM.,85,0,0,75
6000996,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HARDER ELEM.,100,0,1,91
6001044,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LONGWOOD ELEM.,90,0,0,86
6001093,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PALMA CEIA ELEM.,71,0,0,66
6001101,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PARK ELEM.,97,0,1,79
6001127,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,RUUS ELEM.,91,1,0,84
6001135,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SCHAFER PARK ELEM.,103,0,0,103
6001176,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SOUTHGATE ELEM.,103,0,0,98
111815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STONEBRAE ELEMENTARY,112,0,1,107
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STROBRIDGE ELEM.,85,0,0,81
6001192,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TREEVIEW ELEM.,99,0,0,97
6104566,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TYRRELL ELEMENTARY,116,1,0,100
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEM.,120,0,1,119
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,AZEVEDA (JOSEPH) ELEM.,114,0,0,113
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BLACOW ELEM.,59,0,0,59
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEM.,120,0,0,120
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEM.,139,0,5,134
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEM.,90,1,0,84
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CHADBOURNE (JOSHUA) ELEM.,60,0,1,59
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,DURHAM (J. HALEY) ELEM.,105,0,2,103
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEM.,120,0,1,119
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEM.,93,0,0,85
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GOMES (JOHN M.) ELEM.,97,0,1,96
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GREEN (HARVEY) ELEM.,60,0,1,56
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GRIMMER (E. M.) ELEM.,56,0,2,54
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HIRSCH (O. N.) ELEM.,63,0,0,62
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,LEITCH (JAMES) ELEM.,259,0,0,259
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MALONEY ELEM.,106,0,1,103
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MATTOS ELEM.,101,0,0,88
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MILLARD (STEVEN) ELEM.,94,0,0,90
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEM.,60,0,0,60
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEM.,60,0,2,55
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEM.,89,0,3,84
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEM.,120,0,0,120
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEM.,120,0,0,118
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEM.,89,0,2,87
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEM.,90,0,0,89
6000848,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARM SPRINGS ELEMENTARY, , , , 
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEM.,100,0,1,98
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WEIBEL ELEM.,117,0,1,114
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,68,0,0,46
119933,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,EMERYVILLE PRESCHOOL STUDENTS, , , , 
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DOUGHERTY ELEM.,119,1,3,114
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEM.,111,0,4,107
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEM.,117,0,0,116
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,175,0,2,173
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,145,0,1,144
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEM.,59,1,1,57
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEM.,108,0,2,92
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEM.,72,0,1,62
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEM.,71,0,0,69
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEM.,65,0,1,62
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEM.,72,0,1,70
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEM.,21,0,0,21
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEM.,78,0,6,71
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEM.,71,0,1,70
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEM.,49,0,0,48
131763,ALAMEDA,PUBLIC,CALIFORNIA SCHOOL FOR THE DEAF-NORTHERN (STATE SPE,FREMONT,CALIF SCHOOL FOR THE DEAF,10,0,1,6
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET,84,0,6,77
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEM,85,0,4,81
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON PRIMARY,58,0,0,46
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON PRIMARY,58,0,1,41
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEM.,50,0,2,38
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LE CONTE ELEM.,56,0,2,47
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X,81,0,8,63
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD PRIMARY,42,0,0,35
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ELEMENTARY,84,0,3,75
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS PRIMARY,64,0,2,55
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEM.,79,0,2,61
126631,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,ALBANY CHILDREN'S CENTER,20,0,0,16
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEM.,102,0,3,83
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,79,0,2,76
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW SCHOOL,102,0,1,93
118489,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,BERKELEY,ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY,65,0,0,63
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,137,0,41,94
123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,47,0,3,33
125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER, , , , 
124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,55,0,2,53
6110779,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,BAY FARM ELEM.,72,0,1,69
